service_date,route_name,shape_id,route_id,trip_headsign,direction_id,AM,MD,PM,EV,NT
20240128-20240824,AATA_066_Branch,shp-66-07,66,Carpenter - Huron Pkwy to Green Rd Park & Ride,1,150.0,999.0,999.0,999.0,999.0
20240128-20240824,AATA_066_Branch,shp-66-57,66,Carpenter - Huron Pkwy to Meijer,0,150.0,999.0,999.0,999.0,999.0
20240128-20240824,AATA_066_Branch,shp-66-52,66,Carpenter - Huron Pkwy to Meijer,0,150.0,999.0,240.0,999.0,999.0
20240128-20240824,AATA_033_Branch,shp-33-02,33,33 Warrington + Newport to BTC,0,150.0,999.0,240.0,999.0,999.0
20240128-20240824,AATA_066_Branch,shp-66-09,66,Carpenter - Huron Pkwy to Glacier Hills,1,150.0,999.0,240.0,999.0,999.0
20240128-20240824,AATA_046_SB,shp-46-02,46,Huron Paint Creek to Huron River + Textile,1,60.0,30.0,42.0,102.0,210.0
20240128-20240824,AATA_032_WB,shp-32-55,32,Miller - Maple to Pennsylvania & Maple,1,60.0,30.0,30.0,102.0,999.0
20240128-20240824,AATA_046_NB,shp-46-51,46,Paint Creek to Ypsilanti Transit Ctr,0,60.0,30.0,42.0,102.0,210.0
20240128-20240824,AATA_032_EB,shp-32-06,32,Miller - Maple to Blake Transit Ctr,0,60.0,30.0,30.0,102.0,210.0
20240128-20240824,AATA_066_NB_PreEve,shp-66-10,66,Carpenter - Huron Pkwy to Green Rd P&R,1,45.0,30.0,35.0,999.0,999.0
20240128-20240824,AATA_033_Loop,shp-33-01,33,Newport to Blake Transit Ctr,0,45.0,30.0,35.0,128.0,999.0
20240128-20240824,AATA_066_SB_PreEve,shp-66-51,66,Carpenter - Huron Pkwy to Meijer,0,40.0,30.0,36.0,999.0,999.0
20240128-20240824,AATA_045_WB,shp-45-51,45,Grove to Ypsilanti Transit Ctr,0,30.0,30.0,30.0,128.0,999.0
20240128-20240824,AATA_005B_WB,shp-5-02,5,B Packard to BTC,0,30.0,30.0,30.0,999.0,999.0
20240128-20240824,AATA_046_Branch - shp-46-04,shp-46-04,46,Huron Paint Creek to Huron and Textile,1,30.0,999.0,60.0,999.0,999.0
20240128-20240824,AATA_046_Branch,shp-46-56,46,Huron-Paint Creek to Ypsilanti Transit Ctr,0,30.0,999.0,60.0,999.0,999.0
20240128-20240824,AATA_047_WB,shp-47-02,47,47 Harriet Michigan to Hewistt & Ellsworth,1,30.0,30.0,30.0,102.0,210.0
20240128-20240824,AATA_045_EB,shp-45-03,45,Grove to Harry & Grove,1,30.0,30.0,30.0,128.0,999.0
20240128-20240824,AATA_047_EB,shp-47-51,47,47 Harriet Michigan to YTC,0,30.0,30.0,30.0,102.0,210.0
20240128-20240824,AATA_005A_WB,shp-5-01,5,A Packard to BTC,0,30.0,30.0,30.0,57.0,210.0
20240128-20240824,AATA_022_WB,shp-22-01,22,Pontiac - Dhu Varren to BTC,0,30.0,29.0,30.0,102.0,210.0
20240128-20240824,AATA_006_WB,shp-6-10,6,Ellsworth to Blake Transit Ctr,0,30.0,30.0,30.0,102.0,999.0
20240128-20240824,AATA_005A_EB,shp-5-07,5,Packard to Ypsilanti Transit Ctr,1,30.0,30.0,30.0,51.0,999.0
