departure_time,stop_id,route_name,shape_id,trip_headsign,direction_id,time_diff,TOD
0 days 06:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,,AM
0 days 07:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,AM
0 days 07:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,AM
0 days 08:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,AM
0 days 08:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,AM
0 days 09:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,,MD
0 days 09:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 10:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 10:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 11:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 11:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 12:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 12:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 13:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 13:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 14:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,MD
0 days 14:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,,PM
0 days 15:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 15:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 16:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 16:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 17:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 17:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 18:15:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,30.0,PM
0 days 18:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,,EV
0 days 19:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,60.0,EV
0 days 20:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,60.0,EV
0 days 21:45:00,145,AATA_003_EB,shp-3-53, Huron River to YTC,1,60.0,EV
0 days 06:15:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,,NT
0 days 06:45:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,,AM
0 days 07:15:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,AM
0 days 07:45:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,AM
0 days 08:15:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,AM
0 days 08:45:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,AM
0 days 09:15:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,,MD
0 days 09:45:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,MD
0 days 10:15:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,MD
0 days 10:45:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,MD
0 days 11:15:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,MD
0 days 11:45:00,101,AATA_003_WB,shp-3-03, Huron River to BTC,0,30.0,MD
