from_stop_id,to_stop_id,transfer_type,min_transfer_time
54,163,2,0
103,1338,2,0
163,160,2,0
170,108,2,0
101,108,2,0
154,160,2,0
135,163,2,0
54,160,2,0
54,154,2,0
160,122,2,0
1338,108,2,0
135,135,2,0
1338,103,2,0
163,163,2,0
160,154,2,0
108,103,2,0
160,145,2,0
101,103,2,0
103,108,2,0
170,103,2,10
170,101,2,10
1338,101,2,0
160,163,2,0
160,160,2,0
103,103,2,0
122,160,2,0
163,135,2,0
101,101,2,0
122,163,2,0
135,122,2,0
108,101,2,0
108,1338,2,0
145,160,2,0
163,122,2,0
122,135,2,0
54,122,2,0
170,1338,2,0
101,1338,2,0
