trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1307020,6,2,"Ellsworth to Blake Transit Ctr",,0,1302,shp-6-10,1,1
1350020,26,2,"Scio Church to Scio Ridge",,1,1502,shp-26-02,1,1
1732020,25,2,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3102,shp-25-52,1,1
2242020,62,2,"U-M - State St to Wolverine Tower",,0,9302,shp-62-54,1,1
2579010,32,1,"Miller - Maple to Pennsylvania & Maple",,1,4501,shp-32-55,1,1
1498020,45,2,"Grove to Harry & Grove",,1,6902,shp-45-03,1,1
1856070,30,3,"Jackson Rd to BTC",,0,3507,shp-30-51,1,1
2192020,66,2,"Carpenter - Huron Pkwy to Meijer",,0,8402,shp-66-51,1,1
440020,43,2,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7402,shp-43-51,1,1
1862070,6,3,"Ellsworth to Ypsilanti Transit Ctr",,1,607,shp-6-62,1,1
332020,44,2,"44 Ecorse Tyler to West Willow",,1,6902,shp-44-02,1,1
1069020,26,2,"Scio Church to Scio Ridge",,1,1902,shp-26-02,1,1
1532020,65,2,"U-M - Downtown - Green to Glacier Hills",,1,8902,shp-65-53,1,1
160070,28,3,"Pauline to Maple & Pennsylvania",,1,3307,shp-28-12,1,1
2679010,24,1,"Eisenhower - Golfside to Blake Transit Ctr",,0,501,shp-24-04,1,1
2288020,66,2,"Carpenter - Huron Pkwy to Meijer",,0,8402,shp-66-51,1,1
2007020,42,2,"Forest - MacArthur to MacArthur & Harris",,1,6502,shp-42-03,1,1
2891010,24,1,"Eisenhower - Golfside to Blake Transit Ctr",,0,401,shp-24-04,1,1
989010,28,1,"28 Pauline to BTC",,0,3301,shp-28-10,1,1
1691020,28,2,"28 Pauline to BTC",,0,2402,shp-28-10,1,1
128070,30,3,"Jackson Rd to BTC",,0,3507,shp-30-51,1,1
2631020,62,2,"U-M - State St to Wolverine Tower",,0,9302,shp-62-54,1,1
2181020,33,2,"Newport to Blake Transit Ctr",,0,3602,shp-33-01,1,1
2833020,5,2,"Packard to Ypsilanti Transit Ctr",,1,8302,shp-5-07,1,1
1670070,29,3,"Liberty to Scio Ridge",,1,1707,shp-29-51,1,1
3039070,43,3,"E Michigan Ave to Holmes & Ridge",,1,7407,shp-43-02,1,1
841020,23,2,"Plymouth to Plymouth Rd P&R",,1,2402,shp-23-60,1,1
1188020,28,2,"28 Pauline to BTC",,0,2702,shp-28-10,1,1
2465070,31,3,"Dexter Ave to Jackson & Wagnor",,1,3407,shp-31-51,1,1
1927020,31,2,"Dexter Ave to Jackson & Wagnor",,1,1402,shp-31-51,1,1
2434070,42,3,"Forest - MacArthur to MacArthur & Harris",,1,6607,shp-42-03,1,1
747010,5,1,"B Packard to BTC",,0,8001,shp-5-02,1,1
1318020,61,2,"U-M Miller to Central Campus Transit Ctr",,0,8902,shp-61-02,1,1
2003020,30,2,"Jackson Rd to BTC",,0,4002,shp-30-51,1,1
1209020,62,2,"U-M - State to Central Campus Transit Ctr",,1,9402,shp-62-08,1,1
837020,42,2,"Forest - MacArthur to MacArthur & Harris",,1,6602,shp-42-03,1,1
2201010,4,1,"Washtenaw to YTC",,1,5001,shp-4-55,1,1
1447070,46,3,"Paint Creek to Ypsilanti Transit Ctr",,0,6607,shp-46-51,1,1
1465070,3,3," Huron River to BTC",,0,4307,shp-3-03,1,1
1024010,32,1,"Miller - Maple to Blake Transit Ctr",,0,4501,shp-32-06,1,1
3037070,46,3,"Paint Creek to Ypsilanti Transit Ctr",,0,6607,shp-46-51,1,1
194010,46,1,"Huron Paint Creek to Huron River + Textile",,1,6501,shp-46-02,1,1
446070,6,3,"Ellsworth to Ypsilanti Transit Ctr",,1,607,shp-6-62,1,1
1351020,5,2,"A Packard to BTC",,0,8502,shp-5-01,1,1
209020,27,2,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3202,shp-27-04,1,1
1163070,23,3,"Plymouth to Green Rd P&R",,1,3707,shp-23-61,1,1
388020,65,2,"U-M - Downtown - Green to CCTC",,0,8902,shp-65-03,1,1
2916020,65,2,"U-M - Downtown - Green to CCTC",,0,9102,shp-65-03,1,1
2689010,32,1,"Miller - Maple to Pennsylvania & Maple",,1,4501,shp-32-55,1,1
3089010,24,1," Eisenhower - Golfside to Briarwood",,0,501,shp-24-08,1,1
43020,4,2,"Washtenaw to YTC",,1,5402,shp-4-55,1,1
889020,23,2,"Plymouth to Plymouth Rd P&R",,1,2902,shp-23-60,1,1
1779070,43,3,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7407,shp-43-51,1,1
